game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.252,0.283,0.287,0.232,0.251,0.236,0.21,0.249
0.255,0.227,0.241,0.25,0.251,0.249,0.253,0.274
0.243,0.241,0.251,0.245,0.27,0.269,0.236,0.245
0.243,0.265,0.251,0.24,0.27,0.253,0.236,0.242
0.255,0.248,0.239,0.266,0.244,0.239,0.262,0.247
0.266,0.259,0.242,0.24,0.239,0.252,0.253,0.249
0.254,0.252,0.27,0.248,0.216,0.248,0.26,0.252
0.265,0.24,0.256,0.257,0.228,0.258,0.251,0.245
0.255,0.225,0.262,0.257,0.249,0.264,0.234,0.254
0.266,0.287,0.234,0.232,0.266,0.237,0.234,0.244
0.238,0.248,0.261,0.249,0.255,0.255,0.246,0.248
0.282,0.258,0.246,0.237,0.239,0.246,0.233,0.259
0.253,0.25,0.258,0.24,0.253,0.24,0.236,0.27
0.254,0.241,0.257,0.264,0.254,0.24,0.235,0.255
0.252,0.261,0.239,0.253,0.232,0.238,0.277,0.248
0.256,0.248,0.244,0.248,0.232,0.259,0.268,0.245
0.246,0.25,0.248,0.244,0.239,0.256,0.267,0.25
0.256,0.267,0.261,0.269,0.248,0.22,0.235,0.244
0.26,0.265,0.251,0.228,0.267,0.262,0.222,0.245
0.236,0.241,0.26,0.254,0.265,0.257,0.239,0.248
0.228,0.25,0.25,0.273,0.282,0.223,0.24,0.254
0.254,0.242,0.243,0.259,0.258,0.235,0.245,0.264
0.221,0.264,0.244,0.222,0.252,0.255,0.283,0.259
0.255,0.248,0.251,0.228,0.249,0.26,0.245,0.264
0.264,0.235,0.243,0.273,0.232,0.264,0.261,0.228
0.242,0.268,0.247,0.244,0.267,0.238,0.244,0.25
0.279,0.233,0.231,0.258,0.243,0.265,0.247,0.244
0.252,0.251,0.262,0.232,0.229,0.251,0.257,0.266
0.246,0.263,0.249,0.242,0.248,0.26,0.257,0.235
0.252,0.251,0.257,0.254,0.241,0.243,0.25,0.252
0.248,0.238,0.253,0.272,0.239,0.238,0.26,0.252
0.23,0.241,0.24,0.242,0.258,0.272,0.272,0.245
0.233,0.245,0.252,0.26,0.266,0.275,0.249,0.22
0.248,0.242,0.236,0.257,0.249,0.229,0.267,0.272
0.232,0.234,0.241,0.262,0.259,0.255,0.268,0.249
0.268,0.262,0.243,0.244,0.273,0.256,0.216,0.238
0.231,0.25,0.279,0.255,0.225,0.231,0.265,0.264
0.245,0.252,0.236,0.28,0.26,0.234,0.259,0.234
0.227,0.252,0.233,0.249,0.272,0.239,0.268,0.26
0.245,0.24,0.246,0.252,0.242,0.238,0.267,0.27
0.249,0.256,0.269,0.241,0.237,0.256,0.245,0.247
0.267,0.244,0.229,0.237,0.239,0.263,0.265,0.256
0.241,0.234,0.29,0.244,0.233,0.261,0.236,0.261
0.256,0.258,0.256,0.279,0.246,0.234,0.242,0.229
0.263,0.24,0.234,0.248,0.243,0.267,0.26,0.245
0.252,0.245,0.24,0.237,0.249,0.257,0.259,0.261
0.234,0.229,0.253,0.283,0.251,0.236,0.262,0.252
0.254,0.258,0.249,0.235,0.244,0.249,0.253,0.258
0.266,0.237,0.255,0.251,0.237,0.27,0.242,0.242
0.237,0.261,0.249,0.231,0.263,0.265,0.251,0.243
0.248,0.26,0.27,0.235,0.238,0.253,0.244,0.252
0.23,0.271,0.259,0.24,0.265,0.247,0.246,0.242
0.241,0.257,0.244,0.248,0.247,0.241,0.268,0.254
0.245,0.244,0.256,0.272,0.225,0.24,0.274,0.244
0.233,0.228,0.261,0.268,0.255,0.263,0.251,0.241
0.271,0.248,0.227,0.265,0.265,0.228,0.237,0.259
0.253,0.261,0.245,0.256,0.268,0.255,0.234,0.228
0.262,0.238,0.24,0.291,0.254,0.225,0.244,0.246
0.25,0.241,0.251,0.252,0.256,0.253,0.243,0.254
0.252,0.264,0.263,0.245,0.269,0.268,0.216,0.223
0.247,0.244,0.26,0.21,0.255,0.279,0.238,0.267
0.242,0.228,0.258,0.267,0.243,0.244,0.257,0.261
0.237,0.268,0.269,0.258,0.24,0.244,0.254,0.23
0.25,0.233,0.243,0.241,0.247,0.254,0.26,0.272
0.269,0.256,0.233,0.254,0.252,0.236,0.246,0.254
0.268,0.25,0.243,0.243,0.231,0.248,0.258,0.259
0.235,0.247,0.27,0.26,0.248,0.267,0.247,0.226
0.279,0.25,0.24,0.255,0.232,0.262,0.249,0.233
0.259,0.244,0.237,0.263,0.244,0.259,0.26,0.234
0.244,0.262,0.215,0.245,0.259,0.243,0.282,0.25
0.232,0.232,0.255,0.265,0.258,0.261,0.255,0.242
0.246,0.269,0.25,0.237,0.265,0.254,0.239,0.24
0.265,0.256,0.245,0.253,0.263,0.252,0.227,0.239
0.254,0.245,0.249,0.24,0.249,0.246,0.248,0.269
0.245,0.245,0.244,0.256,0.252,0.25,0.259,0.249
0.28,0.232,0.236,0.279,0.224,0.248,0.26,0.241
0.25,0.253,0.259,0.218,0.234,0.247,0.257,0.282
0.254,0.257,0.234,0.253,0.265,0.244,0.247,0.246
0.244,0.246,0.257,0.259,0.247,0.259,0.252,0.236
0.224,0.256,0.264,0.255,0.251,0.231,0.261,0.258
0.258,0.255,0.259,0.233,0.229,0.268,0.254,0.244
0.241,0.246,0.271,0.258,0.245,0.257,0.243,0.239
0.255,0.248,0.245,0.236,0.234,0.232,0.266,0.284
0.231,0.257,0.242,0.261,0.268,0.238,0.259,0.244
0.267,0.266,0.247,0.25,0.227,0.249,0.259,0.235
0.272,0.234,0.261,0.261,0.236,0.248,0.231,0.257
0.25,0.241,0.27,0.238,0.227,0.26,0.253,0.261
0.296,0.236,0.216,0.248,0.242,0.271,0.246,0.245
0.246,0.25,0.241,0.248,0.262,0.262,0.251,0.24
0.251,0.252,0.243,0.249,0.273,0.238,0.233,0.261
0.229,0.232,0.249,0.261,0.247,0.266,0.275,0.241
0.271,0.254,0.246,0.248,0.253,0.254,0.23,0.244
0.238,0.239,0.26,0.265,0.231,0.259,0.271,0.237
0.26,0.235,0.248,0.265,0.246,0.243,0.246,0.257
0.249,0.249,0.242,0.239,0.266,0.267,0.243,0.245
0.259,0.249,0.264,0.262,0.238,0.246,0.239,0.243
0.237,0.269,0.258,0.247,0.274,0.244,0.231,0.24
0.256,0.256,0.251,0.237,0.242,0.256,0.251,0.251
0.276,0.266,0.24,0.262,0.255,0.261,0.229,0.211
0.266,0.252,0.249,0.244,0.253,0.24,0.232,0.264
0.252,0.251,0.252,0.231,0.237,0.256,0.259,0.262
0.25,0.236,0.251,0.245,0.247,0.257,0.252,0.262
0.238,0.251,0.253,0.23,0.245,0.252,0.264,0.267
0.238,0.227,0.261,0.282,0.244,0.244,0.257,0.247
0.262,0.233,0.244,0.226,0.25,0.27,0.244,0.271
0.251,0.226,0.255,0.227,0.256,0.28,0.238,0.267
0.261,0.24,0.225,0.26,0.275,0.248,0.239,0.252
0.253,0.276,0.246,0.24,0.239,0.251,0.262,0.233
0.272,0.269,0.222,0.241,0.245,0.246,0.261,0.244
0.264,0.246,0.254,0.248,0.234,0.24,0.248,0.266
0.228,0.285,0.244,0.218,0.262,0.271,0.266,0.226
0.237,0.243,0.258,0.232,0.269,0.262,0.236,0.263
0.263,0.238,0.215,0.274,0.273,0.239,0.249,0.249
0.234,0.263,0.257,0.251,0.276,0.238,0.233,0.248
0.254,0.255,0.263,0.254,0.223,0.244,0.26,0.247
0.259,0.244,0.231,0.251,0.254,0.272,0.256,0.233
0.258,0.243,0.251,0.248,0.239,0.263,0.252,0.246
0.243,0.251,0.253,0.258,0.258,0.237,0.246,0.254
0.25,0.219,0.238,0.267,0.279,0.259,0.233,0.255
0.259,0.241,0.241,0.247,0.27,0.245,0.23,0.267
0.222,0.25,0.283,0.269,0.251,0.247,0.244,0.234
0.26,0.251,0.245,0.229,0.242,0.266,0.253,0.254
