game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.265,0.238,0.235,0.236,0.258,0.277,0.242,0.249
0.259,0.237,0.261,0.246,0.251,0.265,0.229,0.252
0.252,0.24,0.239,0.261,0.257,0.239,0.252,0.26
0.252,0.267,0.262,0.251,0.25,0.26,0.236,0.222
0.265,0.267,0.241,0.249,0.262,0.24,0.232,0.244
0.27,0.264,0.237,0.254,0.26,0.244,0.233,0.238
0.294,0.25,0.251,0.261,0.238,0.243,0.217,0.246
0.253,0.258,0.244,0.253,0.251,0.243,0.252,0.246
0.268,0.25,0.271,0.234,0.221,0.26,0.24,0.256
0.27,0.244,0.248,0.242,0.229,0.265,0.253,0.249
0.267,0.259,0.245,0.261,0.233,0.229,0.255,0.251
0.268,0.233,0.278,0.266,0.218,0.252,0.236,0.249
0.254,0.248,0.269,0.267,0.25,0.25,0.227,0.235
0.272,0.236,0.231,0.251,0.247,0.252,0.25,0.261
0.249,0.237,0.246,0.255,0.256,0.246,0.249,0.262
0.253,0.251,0.255,0.25,0.261,0.27,0.231,0.229
0.256,0.228,0.25,0.229,0.25,0.277,0.244,0.266
0.268,0.237,0.229,0.271,0.262,0.239,0.241,0.253
0.277,0.268,0.247,0.23,0.231,0.247,0.245,0.255
0.268,0.246,0.23,0.22,0.251,0.257,0.251,0.277
0.233,0.251,0.258,0.233,0.245,0.248,0.264,0.268
0.278,0.26,0.223,0.268,0.253,0.22,0.246,0.252
0.311,0.254,0.253,0.234,0.221,0.261,0.215,0.251
0.248,0.265,0.261,0.251,0.225,0.228,0.266,0.256
0.26,0.254,0.253,0.259,0.246,0.25,0.241,0.237
0.283,0.251,0.227,0.244,0.227,0.262,0.263,0.243
0.265,0.248,0.231,0.259,0.276,0.245,0.228,0.248
0.252,0.246,0.274,0.276,0.247,0.246,0.227,0.232
0.288,0.235,0.243,0.265,0.245,0.24,0.224,0.26
0.266,0.268,0.258,0.232,0.22,0.265,0.256,0.235
0.256,0.25,0.252,0.247,0.237,0.247,0.255,0.256
0.276,0.272,0.238,0.216,0.242,0.246,0.244,0.266
0.258,0.219,0.257,0.232,0.242,0.286,0.243,0.263
0.275,0.25,0.227,0.241,0.254,0.265,0.244,0.244
0.272,0.253,0.256,0.251,0.231,0.24,0.241,0.256
0.259,0.248,0.243,0.273,0.246,0.249,0.252,0.23
0.275,0.247,0.231,0.242,0.255,0.244,0.239,0.267
0.253,0.27,0.276,0.247,0.245,0.233,0.226,0.25
0.262,0.239,0.257,0.271,0.248,0.25,0.233,0.24
0.259,0.246,0.272,0.285,0.244,0.247,0.225,0.222
0.258,0.236,0.254,0.247,0.262,0.25,0.226,0.267
0.248,0.268,0.276,0.254,0.271,0.235,0.205,0.243
0.281,0.261,0.244,0.26,0.25,0.241,0.225,0.238
0.258,0.246,0.236,0.244,0.276,0.259,0.23,0.251
0.268,0.246,0.259,0.254,0.23,0.243,0.243,0.257
0.277,0.266,0.263,0.246,0.238,0.252,0.222,0.236
0.257,0.232,0.265,0.229,0.221,0.273,0.257,0.266
