replicate_id,winner,plus4s_0,plus4s_1,plus4s_2,plus4s_3
595,1,2,0,0,0
596,0,0,1,0,0
597,3,0,0,0,1
598,1,1,0,0,1
599,0,1,0,0,0
600,0,0,0,1,0
601,2,0,1,0,0
602,0,0,0,2,1
603,1,0,0,0,1
604,2,1,0,1,0
605,1,0,1,0,1
606,0,0,1,0,0
607,0,0,1,0,0
608,0,0,1,0,1
609,1,2,0,0,0
610,1,1,0,0,0
611,3,1,0,1,0
612,0,1,0,0,1
613,1,0,1,0,1
614,2,0,0,1,1
615,3,1,0,0,0
616,3,0,1,0,0
617,2,0,1,0,0
618,2,1,0,0,1
619,3,0,1,0,0
620,3,1,0,1,0
621,0,1,1,0,1
622,2,0,0,1,1
623,1,0,1,1,0
624,0,0,0,1,2
625,0,0,0,0,0
626,2,0,0,2,0
627,3,0,1,0,1
628,3,0,1,0,0
629,1,1,1,1,0
630,2,0,1,3,0
631,0,1,0,0,0
632,0,0,1,2,0
633,2,0,0,0,0
634,2,0,1,1,0
635,3,1,0,0,0
636,2,0,0,0,1
637,3,0,0,0,0
638,2,0,1,1,0
639,3,1,0,0,1
640,2,0,1,1,1
641,3,0,0,0,0
642,2,0,0,1,0
643,1,1,0,0,0
644,2,0,0,0,0
645,1,0,0,0,0
646,2,0,0,0,1
647,0,1,0,1,2
648,2,0,0,1,0
649,2,0,1,1,1
650,0,2,0,0,0
651,1,0,0,0,0
652,0,0,0,0,0
653,3,0,0,0,1
654,2,2,1,0,0
655,2,0,0,0,0
656,3,0,0,1,0
657,1,0,1,0,0
658,2,1,0,0,1
659,3,1,1,0,0
660,1,1,1,0,2
661,1,0,0,0,0
662,3,1,0,1,1
663,2,0,1,2,0
664,1,1,0,1,0
665,0,0,0,0,0
666,3,1,0,0,1
667,1,2,0,0,0
668,0,2,0,0,0
669,2,0,0,1,0
670,2,0,0,2,0
671,3,1,1,0,0
672,2,1,1,1,0
673,2,0,2,0,0
674,1,0,0,0,0
675,1,1,1,0,0
676,0,1,0,0,0
677,2,1,0,0,0
678,3,0,1,0,0
679,3,0,0,0,1
680,0,1,2,1,0
681,0,1,0,1,2
682,2,0,0,1,1
683,2,1,0,0,0
684,0,1,0,0,0
685,3,1,0,0,1
686,3,0,0,1,1
687,0,0,0,0,0
688,0,0,0,1,0
689,2,0,0,1,0
690,2,1,0,1,0
691,3,0,1,1,1
692,0,1,0,0,1
